"","group_name","subcategory","item","item_description"
"89","Magic","Magic","Repel","""A hex that distorts local space.For a brief moment, no damage can be inflicted.The hexer Gilleah took no apprentice, and it is unclear how his spells were passed down.It is possible that hexes originated from another source altogether.Catalyst: staff"""
"90","Magic","Magic","Twisted Barricade","""A hex that distorted local space.For a brief moment, spells are deflected.Hexer Gilleah never took an apprentice, making it unclear how his spells were passed down.It is even possible that hexes originated from another source entirely.Catalyst: staff"""
"91","Magic","Magic","Numbness","""A hex that transforms its caster's flesh. Temporarily reduces received damage, but darkens one's sight. If it cannot be observed, it does not exist. Certainly a common conception, but one with far too many exceptions in this world.Catalyst: staff"""
"92","Magic","Magic","Scraps of Life","""An esoteric spell created by Navlaan, the infamous exiled sorcerer.Awakens the souls of the long-buried dead.The heretic Navlaan was executed along with his entire village, and the mere utterance of his name became a crime. Some say it was because he sought to restore the banned art of resurrection.Catalyst: Sacred Chime"""
"93","Magic","Magic","Darkstorm","""An esoteric spell created by Navlaan, the infamous exiled sorcerer.Creates a local vortex of dark flame.The heretic Navlaan was executed along with his entire village, and the mere utterance of his name became a crime. Some say it was because he sought to restore the banned art of resurrection.Catalyst: sacred chime"""
"94","Magic","Magic","Resonant Soul","""A hex that distorts the power of life.Emits a dark mass at the cost of souls.Can be used even without souls, but at a greatly reduced strength.Catalyst: sacred chime"""
"95","Magic","Magic","Great Resonant Soul","""A hex that distorts the power of life.Emits a large mass of dark at the cost of souls.Can be used even without souls, but at a greatly reduced strength.Catalyst: sacred chime"""
"96","Magic","Magic","Climax","""A hex that distorts the power of life.Emits a mass of dark, but at the cost of all souls.Strength varies depending on the number of souls. Not a hex to be used lightly.""Catalyst: ""sacred chime"""
"97","Magic","Magic","Resonant Flesh","""A hex developed independently by Outcast Felkin. Transforms a certain number of souls into HP over a period of time.Something gained, something lost.Catalyst: sacred chime"""
"98","Magic","Magic","Resonant Weapon","""A hex developed independently by Outcast Felkin. Transforms a certain amount of souls into attack power over a period of time.Something gained, something lost.Catalyst: sacred chime"""
"99","Magic","Magic","Lifedrain Patch","Consume a number of souls and affix dark to a certain spot.Inflicts damage upon those who touch it.This distorted dark, brewed by hexers, drains the life-force of those who touch it.Catalyst: sacred chime"""
"100","Magic","Magic","Profound Still","""A hex created by an ostracized cleric.Blocks the spells of nearby casters.This hex, born of jealousy and humiliation, is a focus of dark thoughts. The very things that reflect the true essence of life itself.Catalyst: sacred chime"""
"101","Magic","Magic","Promised Walk of Peace","A hex created from an ancient miracle of unknown origin. Slows the walking pace of its caster and those in the vicinity.To stand and glare at one another, steaming with ire and wrath, but without making a move.Such is the nature of peace."
"102","Magic","Magic","Dark Greatsword","Hex adapted from an ancient sorcery.Brandish Dark like a sword.By its nature Dark is normally tranquil, but this hex releases a focused blade of Dark in an uncharacteristic flash of brilliance."
"103","Magic","Magic","Recollection","Hex created by the children of Dark. Fire multiple Dark orbs that seek their target.Hexes that grant a fleeting volition to Dark have existed from ancient times, and it appears that the children of Dark have some recollection of the creator of these spells. Catalyst: staff"
"104","Magic","Magic","Dark Dance","Hex that unleashes a large mass of Dark. This momentous mass of Dark dances to signal the joy of its own release, or perhaps merely to taunt foes as it veers towards them. Hexes are an expression of human depravity, of which this dance is a perfect example. Catalyst: Sacred Chime"
"105","Armor","Helms","Alonne Knight Helm","""Helm worn by Alonne Knights. The bonds of the Alonne Knights, who served the Old Iron King, were mightier than the land's iron, but in the end the knights were subsumed by the flames that brought the castle down."""
"106","Armor","Helms","Archdrake Helm","""Helmet worn by the Archdrake sect of Lindelt. Though little is actually known about the order, it is said their well-honed miracles and unwavering faith in the face of death made them worthy rivals to Drangleic's forces in their day."""
"107","Armor","Helms","Moon Hat","""Astrologists believe that magical powers can be obtained at moments of special heavenly alignment. Even the collective wisdom of the Melfian Magic Academy cannot pull magic out of the sky, but the ideas of the astrologists led to the creation of new and very useful magic devices."""
"108","Armor","Helms","Helm of Aurous","""Helm of kings of the desert land of Jugo. First worn by Aurous, the land's heroic founder.According to legend, the armor of Aurous is composed of a mysterious substance that cannot be seen by cowards. What do your eyes tell you? """
"109","Armor","Helms","Bandit Helm","""Helmet/Gauntlets/Armor/Boots of bandits of the Forossan outskirts. The territory of Forossa became lawless after the kingdom fell to war. Citizens became bandits, and scattered to other lands."""
"110","Armor","Helms","Bell Keeper Helm","""An old Helmet that is oddly comfortable. Belonged to a Bell Keeper. To this day, the forbidden love of Prince of Alken and the Princess of Venn manipulates these marionettes. Surely they never imagined that their dolls would outlast their own kingdoms."""
"111","Armor","Helms","Black Hollow Mage Hood","""Hood worn by Hollowed Drangleic mages.Drangleic mages wore different garb depending on their sex. What function this served, however, is unknown, as with many old practices. This is a women's hood/robe. """
"112","Armor","Helms","Black Hood","""Black Hood belonged to Straid of Olaphis.Straid was invited to the old kingdom of Olaphis for his wisdom, but its depth was such that people soon feared him, and in the end Straid was led into a dreadful trap.Straid spent several lifetimes as stone. During this hiatus, kingdoms rose and fell, until the land called Drangleic came to be."
"113","Armor","Helms","Thief Mask","""A full face mask. Called a thief mask since most people wearing them are up to no good. Not terribly effective as armor."""
"114","Armor","Helms","Black Witch Hat","""Worn by Zullie the witch,seducer of Alva of Wayfarer. Boasts excellent magic defense.When Zullie the witch learned of Alva's dedication to Saint Serreta, she used all manner of tricks and deceit to ruin him, but in the end she would spend her life with him, supporting his endeavors."
"115","Armor","Helms","Black Witch Set","""Robe worn by Zullie the witch,seducer of Alva of Wayfarer. Boasts excellent magic defense. When Zullie the witch learned of Alva's dedication to Saint Serreta, she used all manner of tricks and deceit to ruin him, but in the end she would spend her life with him, supporting his endeavors."" Scholar of the First Sin added: ""The witch, as unloving as she was unloved, finally found illumination through her blighted existence."""
"116","Armor","Helms","Bone Crown","""Skeleton lord Crown. High dark defense.The very men who were ordered to hunt down the Undead were themselves hollowed, and founded a kingdom of bone."""
"117","Armor","Helms","Brigand Hood","""Hood donned by looting brigands."""
"118","Armor","Helms","Cale's Helm","""Helm of a light mirrah foot soldier. belonged to Cale the Cartographer."
"119","Armor","Helms","Catarina Helm","""Helm shaped apparel worn by the Knights of Catarina."
"120","Armor","Helms","Chaos Hood","""Hood worn by a chaos sorcerer."
"121","Armor","Helms","Creighton's Steel Mask","""Atypical steel mask. Belonged to Creighton the Wanderer."
"122","Armor","Helms","Dark Mask","""Mask of a knight subsumed by dark."
"123","Armor","Helms","Desert Sorceress Hood","""Sorceress hood from the distant land of Jugo. Appears to be a plain, thin fabric, but is permeated with powerful magic."
"124","Armor","Helms","Dingy Hood","""An unassuming dingy hood.Although by now gray with soot and nearly unraveled, its fabric was originally a pure white"""
"125","Armor","Helms","Dragon Acolyte Mask","""Helm worn by acolytes of Aldia."
"126","Armor","Helms","Dragon Sage Hood","""Hood worn by the Archmaster of Aldia."
"127","Armor","Helms","Dragon Rider Helm","""Helm worn by the Dragonriders, King Vendrick's royal guard.According to legend, the Dragonriders straddled not horses, but wyrms."""
"128","Armor","Helms","Drakekeeper Helm","""Giant Onyx Helm.Something dark indeed eats away at the drakekeepers, eternal guardians of the shrine."""
"129","Armor","Helms","Drangleic Helm","""Traditional Drangleic Helm. Belonged to Captain Drummond."
"130","Armor","Helms","Durgo's Hat","""Monocled hat favored by Blue-eyed Durgo, Extends arrow range."
"131","Armor","Helms","Elite Knight Helm","""Helmet made of bradden steel. Provides sturdy defense, making it an old-time favorite of elite knights."
"132","Armor","Helms","Executioner Helm","""Black Helmet worn by the executioner of the Undead Purgatory. The spikes are designed to evoke fear."
"133","Armor","Helms","Falconer Helm","""Helm worn by the Volgen Falconers."""
"134","Armor","Helms","Faraam Helm","""Helmet worn by the Forossa Lion Knights. The mighty Lion Knights, worshippers of the war god Faraam, wore heavy armor and were feared for their nimble two-handed swordplay. But their legacy was cut short with the fall of Forossa."""
"135","Armor","Helms","Grave Warden Mask","""Helm worn by wardens of this crypt."""
"136","Armor","Helms","Gyrm Helm","""The stocky Gyrm are kind-natured, but humans deemed them impure, and drove them underground."""
"137","Armor","Helms","Gyrm Warrior Greathelm","""Warrior helm of the nomadic Gyrm. Excellent poise and defense, but very heavy."
"138","Armor","Helms","Gyrm Warrior Helm","""Warrior helm of the nomadic Gyrm. Excellent poise and defense, but very heavy."
"139","Armor","Helms","Standard Helm","""Helmet made of iron."""
"140","Armor","Helms","Havel's Helm","""The origin of the name Havel is not clear. Some say it was the warrior who wore the armor, but others say that it was the name of a great kingdom ruined in a barbaric war."""
"141","Armor","Helms","Heide Knight Greathelm","""""Greathelm worn by Heide Knights""""Whether Heide refers to a kingdom or was just a name for the land is not clear, for no records date back far enough to tell.All that is known is that the Way of Blue has its origins in Heide, and that Heide was later subsumed by the sea."""
"142","Armor","Helms","Heide Knight Iron Mask","""Iron mask worn by Heide Knights."
"143","Armor","Helms","Hexer's Hood","""Helm worn by a hexer. Grants slight increase to spell uses. Belonged to Felkin the Outcast."
"144","Armor","Helms","Hollow Infantry Helm","""Helm worn by Hollowed infantry."""
"145","Armor","Helms","Hollow Skin","""A hood imitating the head of a Hollow. Provides curse resistance, and makes it easier to detect messages from other worlds. Finely crafted to perfectly imitate the head of a Hollow, only without the abhorrent stench. Whoever created this was surely deeply respectful of those lost to Hollowing."""
"146","Armor","Helms","Hollow Soldier Helm","""Helm worn by Hollowed Royal Soldiers. Appears to be crafted with quality materials, but is highly degraded and close to falling apart. Wearing this will be of little use."""
"147","Armor","Helms","Hunter's Hat","""A leather hat with a large brim. Traditionally used by bow hunters."
"148","Armor","Helms","Imperious Helm","""Helmet worn by once-proud knights."
"149","Armor","Helms","Imported Hood","""Hemp hood that fully covers the face. Provides protection from the elements, and little more."""
"150","Armor","Helms","Infantry Helm","""Helmet worn by Drangleic infantry.Apiece of basic, minimal equipment. At least it's light and easy-to-use."""
"151","Armor","Helms","Insolent Helm","""Helmet worn by once-proud clerics. Relics of a party who long ago attempted to conquer the Undead Crypt."
"152","Armor","Helms","Ironclad Helm","""Helm worn by Ironclad Soldiers. Provides high defense, but is so heavy that it requires great strength to move"""
"153","Armor","Helms","Jester's Cap","""A boldly-colored jester's cap. A nice bit of fun to try on..."
"154","Armor","Helms","Judgment Set","""A mask/robe/manchettes/tights honoring an ancient goddess. Sin was said to be her domain, but the name of the goddess is long forgotten."" ""Little is known about what purpose the mask/robe/manchettes/tights served, only that it was worn by a person of great authority."""
"155","Armor","Helms","King's Crown","""What makes a king? Some say that it is a birthright, while others call it destiny.Perhaps it is not important, as long as the king's name serves to unite his people."""
"156","Armor","Helms","Knight Helm","""Metal helm worn by Knights."
"157","Armor","Helms","Leydia Black Hood","""Hood worn by Leydia witches.Leydia apostles worship Galib, god of disease. They once resided in the Undead Crypt beside Fenito.The Leydia witches grew conceited, and began to manipulate both the onset and curing of disease, making themselves the effective gatekeepers of the crypt."""
"158","Armor","Helms","Leydia White Hood","""Hood of a Leydia Pyromancer."
